0	2026-06-25 16:32:33	#ARC-FILE#	1.1a	2026-05-01	2026-05-31	COBAS INTEGRA400	400252	3.6.2.1904 (1904)	CHARLES DRALEKU																
10	2026-05-04 10:19:06	CREJ2	C.f.a.s.	768541	32483	86138101	mg/dL	 	  4.06	  0.00					  0.01159	  0.00014					  0.0001362	  31355.345	 	 	 
10	2026-05-04 16:01:23	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  127.045	  137.112					  1.01	 -49.50	 	 	 
10	2026-05-04 16:01:23	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  75.2861	  67.4965					  0.99	  57.83	 	 	 
10	2026-05-04 16:01:23	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  21.9877	 -3.1282					  0.97	  56.61	 	 	 
10	2026-05-05 06:17:34	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  74.6133	  66.9659					  0.99	  56.77	 	 	 
10	2026-05-05 06:17:35	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  126.851	  136.762					  1.01	 -48.74	 	 	 
10	2026-05-05 10:16:53	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  125.350	  135.714					  1.01	 -50.97	 	 	 
10	2026-05-05 10:16:53	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  74.8720	  67.1730					  0.99	  57.16	 	 	 
10	2026-05-05 10:20:38	K-I	ISE	82426101 / 81414601			mmol/L	>	  5.00	  1.80					  21.1725	 -3.2446					  0.97	  55.03	 	 	 
10	2026-05-05 10:25:36	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  74.9367	  67.2377					  0.99	  57.16	 	 	 
10	2026-05-05 10:25:36	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  126.359	  136.607					  1.01	 -50.39	 	 	 
10	2026-05-05 10:25:36	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  20.9396	 -3.2834					  0.97	  54.59	 	 	 
10	2026-05-05 10:59:24	CA2	C.f.a.s.	768541	86119	88237901	mg/dL	 	  11.50	  0.00					  0.13926	  0.00480					  0.0047953	  21.380939	 	 	 
10	2026-05-05 16:01:50	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  127.912	  137.940					  1.01	 -49.31	 	 	 
10	2026-05-05 16:01:50	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  75.7261	  67.7811					  0.99	  58.98	 	 	 
10	2026-05-05 16:01:50	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  21.8195	 -3.4646					  0.97	  56.98	 	 	 
10	2026-05-06 06:40:24	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  74.7426	  67.0048					  0.99	  57.45	 	 	 
10	2026-05-06 06:40:25	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  21.1337	 -4.1633					  0.96	  57.01	 	 	 
10	2026-05-06 06:40:25	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  126.320	  136.555					  1.01	 -50.33	 	 	 
10	2026-05-06 11:52:07	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  75.7908	  68.0787					  0.99	  57.25	 	 	 
10	2026-05-06 11:52:07	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  21.5219	 -3.5293					  0.96	  56.46	 	 	 
10	2026-05-06 11:52:07	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  127.394	  137.435					  1.01	 -49.38	 	 	 
10	2026-05-07 06:39:26	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  75.6614	  67.7811					  0.99	  58.50	 	 	 
10	2026-05-07 06:39:27	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  126.488	  136.801					  1.01	 -50.71	 	 	 
10	2026-05-07 10:21:03	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  127.161	  137.396					  1.01	 -50.33	 	 	 
10	2026-05-07 10:21:03	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  75.7261	  68.0011					  0.99	  57.35	 	 	 
10	2026-05-07 10:53:20	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  126.139	  136.504					  1.01	 -50.97	 	 	 
10	2026-05-07 10:53:20	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  75.8813	  68.1176					  0.99	  57.64	 	 	 
10	2026-05-07 11:51:44	K-I	ISE	82426101 / 81414601			mmol/L	>	  5.00	  1.80					  21.6383	 -3.5164					  0.96	  56.69	 	 	 
10	2026-05-07 11:51:44	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  127.588	  137.772					  1.01	 -50.07	 	 	 
10	2026-05-07 11:51:44	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  76.0366	  68.3116					  0.99	  57.35	 	 	 
10	2026-05-07 12:08:13	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  76.1401	  68.3375					  0.99	  57.93	 	 	 
10	2026-05-07 12:08:13	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  21.6772	 -3.4905					  0.96	  56.72	 	 	 
10	2026-05-07 12:08:14	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  127.692	  137.914					  1.01	 -50.27	 	 	 
10	2026-05-07 17:20:11	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  76.2954	  68.5316					  0.99	  57.64	 	 	 
10	2026-05-07 17:20:11	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  21.8842	 -3.1929					  0.97	  56.52	 	 	 
10	2026-05-07 17:20:12	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  127.679	  137.888					  1.01	 -50.20	 	 	 
10	2026-05-08 09:58:07	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  75.6614	  67.9235					  0.99	  57.45	 	 	 
10	2026-05-08 09:58:07	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  20.8749	 -4.5774					  0.96	  57.36	 	 	 
10	2026-05-08 09:58:07	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  126.268	  136.659					  1.01	 -51.09	 	 	 
10	2026-05-08 13:12:34	CA2	C.f.a.s.	768541	86119	88237901	mg/dL	 	  11.50	  0.00					  0.14191	  0.00432					  0.0043232	  20.896020	 	 	 
10	2026-05-08 19:26:23	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  127.161	  137.189					  1.01	 -49.31	 	 	 
10	2026-05-08 19:26:23	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  75.5708	  67.7035					  0.99	  58.41	 	 	 
10	2026-05-08 19:26:23	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  21.3925	 -3.9304					  0.96	  57.07	 	 	 
10	2026-05-09 06:26:00	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  75.0403	  67.3929					  0.98	  56.77	 	 	 
10	2026-05-09 06:26:00	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  20.0856	 -5.2891					  0.94	  57.19	 	 	 
10	2026-05-09 06:26:00	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  125.285	  135.688					  1.01	 -51.16	 	 	 
10	2026-05-09 13:19:47	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  75.7778	  67.9752					  0.99	  57.93	 	 	 
10	2026-05-09 13:19:47	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  21.7289	 -3.6458					  0.96	  57.19	 	 	 
10	2026-05-09 13:19:47	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  127.213	  137.125					  1.01	 -48.74	 	 	 
10	2026-05-10 06:25:53	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  74.8720	  67.2894					  0.98	  56.29	 	 	 
10	2026-05-10 06:25:54	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  20.2408	 -5.2114					  0.95	  57.36	 	 	 
10	2026-05-10 06:25:54	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  124.858	  135.300					  1.01	 -51.35	 	 	 
10	2026-05-11 10:34:14	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  75.5579	  67.9105					  0.98	  56.77	 	 	 
10	2026-05-11 10:34:14	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  23.7604	 -0.4238					  0.96	  54.51	 	 	 
10	2026-05-11 10:34:14	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  126.618	  136.413					  1.01	 -48.17	 	 	 
10	2026-05-11 12:33:24	CA2	C.f.a.s.	768541	86119	88237901	mg/dL	 	  11.50	  0.00					  0.14356	  0.00430					  0.0043008	  20.644734	 	 	 
10	2026-05-11 17:43:06	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  76.1013	  68.3246					  0.99	  57.73	 	 	 
10	2026-05-11 17:43:06	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  21.8842	 -3.2317					  0.96	  56.61	 	 	 
10	2026-05-11 17:43:06	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  127.523	  137.565					  1.01	 -49.38	 	 	 
10	2026-05-11 17:46:34	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  75.9719	  68.3505					  0.98	  56.58	 	 	 
10	2026-05-11 17:46:34	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  21.5736	 -3.3093					  0.95	  56.08	 	 	 
10	2026-05-11 17:46:35	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  127.601	  137.603					  1.01	 -49.18	 	 	 
10	2026-05-11 17:50:23	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  75.8425	  68.2987					  0.98	  56.01	 	 	 
10	2026-05-11 17:50:23	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  21.4960	 -3.1799					  0.95	  55.61	 	 	 
10	2026-05-11 17:50:24	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  127.782	  137.642					  1.01	 -48.48	 	 	 
10	2026-05-11 17:53:49	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  75.9590	  68.2340					  0.98	  57.35	 	 	 
10	2026-05-11 17:53:49	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  21.4960	 -3.3223					  0.95	  55.94	 	 	 
10	2026-05-11 17:53:49	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  127.679	  137.772					  1.01	 -49.63	 	 	 
10	2026-05-11 17:56:50	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  75.9978	  68.2599					  0.98	  57.45	 	 	 
10	2026-05-11 17:56:50	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  21.4442	 -3.3481					  0.95	  55.88	 	 	 
10	2026-05-11 17:56:50	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  127.718	  137.759					  1.01	 -49.38	 	 	 
10	2026-05-11 17:59:47	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  75.8813	  68.2211					  0.98	  56.87	 	 	 
10	2026-05-11 17:59:47	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  21.3019	 -3.4258					  0.95	  55.73	 	 	 
10	2026-05-11 17:59:47	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  127.860	  137.862					  1.01	 -49.18	 	 	 
10	2026-05-11 18:02:24	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  75.8296	  68.2599					  0.98	  56.20	 	 	 
10	2026-05-11 18:02:25	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  21.2631	 -3.4387					  0.95	  55.67	 	 	 
10	2026-05-11 18:02:25	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  127.912	  137.849					  1.01	 -48.87	 	 	 
10	2026-05-11 18:05:02	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  75.9202	  68.2728					  0.98	  56.77	 	 	 
10	2026-05-11 18:05:02	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  21.3019	 -3.4258					  0.95	  55.73	 	 	 
10	2026-05-11 18:05:03	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  127.925	  137.823					  1.01	 -48.68	 	 	 
10	2026-05-11 18:07:40	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  75.9072	  68.2858					  0.98	  56.58	 	 	 
10	2026-05-11 18:07:40	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  21.2631	 -3.3999					  0.95	  55.59	 	 	 
10	2026-05-11 18:07:40	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  127.925	  137.823					  1.01	 -48.68	 	 	 
10	2026-05-11 18:10:18	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  75.8167	  68.2728					  0.98	  56.01	 	 	 
10	2026-05-11 18:10:18	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  128.054	  137.966					  1.01	 -48.74	 	 	 
10	2026-05-11 18:10:18	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  21.1466	 -3.3740					  0.94	  55.26	 	 	 
10	2026-05-11 18:41:28	CL-I	ISE	82426101 / 81414601			mmol/L	>	  115.0	  72.0					  128.196	  138.147					  1.01	 -48.93	 	 	 
10	2026-05-11 18:47:01	NA-I	ISE	82426101 / 81414601			mmol/L	>	  150.0	  110.0					  76.1531	  68.3763					  0.98	  57.73	 	 	 
10	2026-05-11 18:47:01	K-I	ISE	82426101 / 81414601			mmol/L	>	  5.00	  1.80					  21.7419	 -3.2317					  0.95	  56.29	 	 	 
10	2026-05-11 18:47:01	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  128.158	  138.250					  1.01	 -49.63	 	 	 
10	2026-05-11 18:50:08	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  76.1143	  68.3634					  0.98	  57.54	 	 	 
10	2026-05-11 18:50:08	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  21.5219	 -3.3093					  0.95	  55.96	 	 	 
10	2026-05-11 18:50:08	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  128.248	  138.186					  1.01	 -48.87	 	 	 
10	2026-05-11 18:52:45	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  76.0496	  68.4152					  0.98	  56.68	 	 	 
10	2026-05-11 18:52:46	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  21.4054	 -3.3093					  0.95	  55.70	 	 	 
10	2026-05-11 18:52:46	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  128.313	  138.250					  1.01	 -48.87	 	 	 
10	2026-05-11 18:55:23	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  76.1143	  68.4928					  0.98	  56.58	 	 	 
10	2026-05-11 18:55:23	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  21.4184	 -3.2705					  0.95	  55.64	 	 	 
10	2026-05-11 18:55:24	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  128.235	  138.173					  1.01	 -48.87	 	 	 
10	2026-05-11 18:58:01	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  76.1401	  68.5187					  0.98	  56.58	 	 	 
10	2026-05-11 18:58:01	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  21.3925	 -3.2317					  0.95	  55.50	 	 	 
10	2026-05-11 18:58:01	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  128.287	  138.199					  1.01	 -48.74	 	 	 
10	2026-05-11 19:00:39	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  75.9978	  68.4799					  0.98	  55.81	 	 	 
10	2026-05-11 19:00:39	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  21.2372	 -3.3223					  0.94	  55.35	 	 	 
10	2026-05-11 19:00:39	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  128.403	  138.250					  1.01	 -48.42	 	 	 
10	2026-05-11 19:03:17	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  76.1660	  68.5187					  0.98	  56.77	 	 	 
10	2026-05-11 19:03:17	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  21.3795	 -3.3093					  0.95	  55.64	 	 	 
10	2026-05-11 19:03:17	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  128.261	  138.238					  1.01	 -49.06	 	 	 
10	2026-05-11 19:05:54	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  76.1790	  68.4152					  0.98	  57.64	 	 	 
10	2026-05-11 19:05:55	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  21.4442	 -3.3869					  0.95	  55.96	 	 	 
10	2026-05-11 19:05:55	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  128.352	  138.393					  1.01	 -49.38	 	 	 
10	2026-05-11 19:08:32	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  76.1272	  68.4799					  0.98	  56.77	 	 	 
10	2026-05-11 19:08:32	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  21.3278	 -3.3093					  0.95	  55.53	 	 	 
10	2026-05-11 19:08:33	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  128.403	  138.354					  1.01	 -48.93	 	 	 
10	2026-05-11 19:11:10	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  76.0496	  68.4281					  0.98	  56.58	 	 	 
10	2026-05-11 19:11:10	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  21.2631	 -3.3869					  0.94	  55.56	 	 	 
10	2026-05-11 19:11:10	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  128.610	  138.470					  1.01	 -48.48	 	 	 
10	2026-05-11 19:13:48	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  76.1013	  68.4928					  0.98	  56.49	 	 	 
10	2026-05-11 19:13:48	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  21.2631	 -3.3352					  0.95	  55.44	 	 	 
10	2026-05-11 19:13:48	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  128.481	  138.419					  1.01	 -48.87	 	 	 
10	2026-05-11 19:16:26	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  76.1919	  68.4540					  0.98	  57.45	 	 	 
10	2026-05-11 19:16:26	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  21.3925	 -3.4387					  0.95	  55.96	 	 	 
10	2026-05-11 19:16:26	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  128.481	  138.419					  1.01	 -48.87	 	 	 
10	2026-05-11 19:19:03	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  76.2437	  68.5187					  0.98	  57.35	 	 	 
10	2026-05-11 19:19:04	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  21.3537	 -3.3223					  0.95	  55.61	 	 	 
10	2026-05-11 19:19:04	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  128.507	  138.470					  1.01	 -48.99	 	 	 
10	2026-05-11 19:21:41	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  76.1919	  68.5316					  0.98	  56.87	 	 	 
10	2026-05-11 19:21:41	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  21.3795	 -3.3352					  0.95	  55.70	 	 	 
10	2026-05-11 19:21:42	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  128.507	  138.509					  1.01	 -49.18	 	 	 
10	2026-05-11 19:24:19	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  76.1919	  68.5575					  0.98	  56.68	 	 	 
10	2026-05-11 19:24:19	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  21.3925	 -3.2576					  0.95	  55.56	 	 	 
10	2026-05-11 19:24:19	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  128.572	  138.535					  1.01	 -48.99	 	 	 
10	2026-05-11 19:26:57	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  76.2178	  68.5057					  0.98	  57.25	 	 	 
10	2026-05-11 19:26:57	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  21.3278	 -3.3740					  0.94	  55.67	 	 	 
10	2026-05-11 19:26:57	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  128.572	  138.613					  1.01	 -49.38	 	 	 
10	2026-05-11 19:29:35	NA-I	ISE	82426101 / 81414601			mmol/L	 	  150.0	  110.0					  76.1660	  68.5446					  0.98	  56.58	 	 	 
10	2026-05-11 19:29:35	K-I	ISE	82426101 / 81414601			mmol/L	 	  5.00	  1.80					  21.3278	 -3.3093					  0.94	  55.53	 	 	 
10	2026-05-11 19:29:35	CL-I	ISE	82426101 / 81414601			mmol/L	 	  115.0	  72.0					  128.649	  138.561					  1.01	 -48.74	 	 	 
